what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1350344562805
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1350344562805
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1350344562830
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1350344562831
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1350344562832
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1350344562832
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1350344562832
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1350344562833
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1350344562838
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1350344562839
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1350344562839
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1350344562839
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1350344562864
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1350344562865
os,sysinfo,,,"macosx",1350344562867
arch,sysinfo,,,"x86_64",1350344562867
ws,sysinfo,,,"cocoa",1350344562867
locale,sysinfo,,,"en_US",1350344562867
processors,sysinfo,,,"8",1350344562867
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350344562867
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1350344562867
java.specification.name,sysinfo,,,"Java Platform API Specification",1350344562867
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350344562867
java.specification.version,sysinfo,,,"1.6",1350344562867
java.vendor,sysinfo,,,"Apple Inc.",1350344562867
java.version,sysinfo,,,"1.6.0_35",1350344562867
java.vm.info,sysinfo,,,"mixed mode",1350344562867
